FragID,Species,Tank,Treatment,Parent,T0,T1,T2,T3,T4,T5,T6,Tf,Origin,Transplant,NP0,R0,NPf,Rf,SA,AFDWg,BMgcm2,AFDWmg,BMmgcm2,GP0,GPf,t0GPSA,t0NPSA,t0RSA,tfGPSA,tfNPSA,tfRSA,BWT0,BWTf,dDryWt.g.d,x.d,g.cm2.d,mg.cm2.d
2057,PCOM,8,High,59,640,609,589,615,607,579,552,530,Outer Bay,Outer Bay,1.673012042,0.750743892,0.652310054,0.368388308,53.176,0.608391,0.011441082,608.391,11.44108244,2.423755934,1.020698362,0.045579884,0.031461788,0.014118096,0.019194719,0.012267001,0.006927718,11.162,11.372,0.04178834,0.163512497,7.86E-04,0.785849631
2090,PCOM,2,Ambient,59,629,631,661,655,628,626,666,652,Outer Bay,Inner Bay,1.095641961,0.687369497,0.637419702,0.400901758,46.537,0.294372,0.006325547,294.372,6.325547414,1.783011458,1.03832146,0.038313846,0.023543459,0.014770387,0.02231174,0.013697052,0.008614688,9.32,9.582,0.058865419,0.275841259,0.001264916,1.264916497
2097,PCOM,6,High,59,625,589,620,627,590,630,594,563,Outer Bay,Inner Bay,0.606539322,0.324100784,0.386175526,0.268695169,24.85609,,,,,0.930640106,0.654870695,0.03744113,0.024402041,0.01303909,0.026346489,0.015536455,0.010810034,7.402,7.455,0.007618209,0.044951067,3.06E-04,0.306492654
2128,PCOM,3,Ambient,57,637,621,639,636,622,654,637,647,Outer Bay,Inner Bay,0.618062729,0.285679747,0.600921594,0.345800933,25.77817,,,,,0.903742476,0.946722527,0.035058442,0.023976207,0.011082235,0.036725746,0.023311259,0.013414487,5.469,5.668,0.044694723,0.356911015,0.001733821,1.733820632
2149,PCOM,8,High,57,653,631,616,603,598,507,398,433,Outer Bay,Inner Bay,0.502981376,0.315668646,0.069574314,0.152288396,27.635,0.1556685,0.00563302,155.6685,5.633019721,0.818650022,0.22186271,0.029623666,0.018200882,0.011422784,0.008028323,0.002517616,0.005510707,6.103,6.132,0.00347804,0.024887229,1.26E-04,0.125856342
2162,PCOM,4,Ambient,57,641,633,637,651,674,665,654,618,Outer Bay,Outer Bay,1.161589269,0.655468832,1.294452702,0.827544233,41.216,0.1644705,0.003990453,164.4705,3.990452737,1.817058101,2.121996935,0.044086231,0.028182969,0.015903262,0.051484786,0.031406558,0.020078228,12.125,12.473,0.076259594,0.274678307,0.001850242,1.850242479
2175,PCOM,7,High,57,635,642,639,622,614,566,568,554,Outer Bay,Outer Bay,1.183146562,0.548723564,0.289215141,0.334936113,31.911,0.215667,0.006758391,215.667,6.758390524,1.731870126,0.624151254,0.054271885,0.037076449,0.017195436,0.019559126,0.00906318,0.010495945,9.927,10.249,0.067982529,0.299102758,0.002130379,2.130379148
218,MCAP,8,High,169,619,576,619,639,613,624,605,596,Inner Bay,Inner Bay,0.674940052,0.288967595,0.220187565,0.400743142,,,,,,0.963907647,0.620930707,,,,,,,5.522,5.502,-0.006132672,-0.056324856,,
2203,PCOM,2,Ambient,54,578,583,560,596,582,587,623,617,Outer Bay,Outer Bay,0.60909362,0.509680033,1.418981322,0.759959429,30.32755,,,,,1.118773653,2.178940751,0.036889681,0.020083839,0.016805843,0.07184691,0.046788525,0.025058385,11.64,11.73,0.019138452,0.071807593,6.31E-04,0.631058295
2216,PCOM,4,Ambient,54,615,626,648,606,621,636,636,650,Outer Bay,Inner Bay,0.415593627,0.252427373,0.491773207,0.416175678,17.5981,,,,,0.668021,0.907948885,0.037959837,0.023615824,0.014344013,0.051593575,0.027944676,0.023648898,8.679,8.992,0.069138456,0.347908377,0.003928745,3.92874549
2221,PCOM,8,High,54,636,584,571,605,554,461,462,464,Outer Bay,Outer Bay,0.853111509,0.742226823,0.352533476,0.31259044,48.134,0.026585,5.52E-04,26.585,0.552312295,1.595338332,0.665123916,0.033143689,0.017723678,0.015420011,0.013818173,0.007324001,0.006494171,10.697,10.765,0.008593873,0.035088498,1.79E-04,0.178540595
2225,PCOM,8,High,54,584,579,604,609,563,468,426,436,Outer Bay,Inner Bay,0.555905415,0.329031555,0.12252168,0.165368681,23.623,0.1471365,0.006228527,147.1365,6.228527283,0.88493697,0.287890361,0.037460821,0.02353238,0.013928441,0.012186867,0.005186542,0.007000325,6.495,6.649,0.034584555,0.232536807,0.00146402,1.464020446
2255,PCOM,6,High,54,645,631,637,632,626,659,619,507,Outer Bay,Outer Bay,0.810484508,0.486732304,0.078535666,0.246397443,18.69646,,,,,1.297216812,0.324933109,0.069383018,0.043349624,0.026033394,0.017379392,0.004200563,0.013178829,6.718,7.13,0.089764849,0.583558614,0.004801168,4.801168189
2322,PCOM,1,Ambient,49,640,633,648,649,669,645,663,649,Outer Bay,Outer Bay,1.077101314,0.611310593,1.095174493,0.670570546,49.959,0.301455,0.006034048,301.455,6.034047919,1.688411907,1.765745039,0.033795951,0.021559705,0.012236246,0.035343883,0.021921465,0.013422417,10.288,10.476,0.040503524,0.171949667,8.11E-04,0.810735283
2330,PCOM,5,High,49,613,615,676,619,631,1009,578,548,Outer Bay,Outer Bay,1.01629277,0.557472524,0.330202489,0.321378513,39.76531,,,,,1.573765294,0.651581002,0.039576337,0.02555727,0.014019066,0.016385664,0.008303783,0.008081881,6.835,6.967,0.025811248,0.164925203,6.49E-04,0.649089571
2338,PCOM,3,Ambient,49,616,648,640,635,633,632,625,625,Outer Bay,Inner Bay,1.502676704,0.700481076,1.010650076,0.589413602,34.70065,,,,,2.20315778,1.600063678,0.063490389,0.043303993,0.020186396,0.046110481,0.029124817,0.016985665,9.58,10.073,0.111501854,0.508307549,0.00321325,3.213249723
2381,PCOM,1,Ambient,47,621,633,661,632,627,627,611,597,Outer Bay,Inner Bay,0.353134801,0.239211348,0.216888362,0.182104767,51.231,0.1445805,0.002822129,144.5805,2.82212918,0.592346149,0.398993129,0.01156226,0.006892991,0.00466927,0.007788119,0.004233538,0.003554582,4.67,4.704,0.006680188,0.062475486,1.30E-04,0.130393473
