Month,Date,Night,ColonyID,SiteOrigin,SiteTransplant,Live,Live_Dead,Spawn,BeginSpawn,EndSpawn,Tot.Repro.Vol.mL,Status,Notes
July,26-Jul-17,4,166B,4,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,167A,4,4,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,167A,4,4,LIVE,1,1,20:53,21:24,0.5,2,
May,26-May-17,1,167A,4,4,LIVE,1,1,20:54,21:14,2,2,
May,27-May-17,2,167A,4,4,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,167A,4,4,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,167A,4,4,LIVE,1,1,21:03,21:37,0.008,2,
June,24-Jun-17,1,167A,4,4,LIVE,1,1,20:55,21:18,10.004,2,
June,25-Jun-17,2,167A,4,4,LIVE,1,1,20:56,21:20,0.5,2,
June,26-Jun-17,3,167A,4,4,LIVE,1,1,20:49,21:33,1.5,2,
June,27-Jun-17,4,167A,4,4,LIVE,1,1,21:08,21:54,0.2,2,
July,22-Jul-17,0,167A,4,4,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,167A,4,4,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,167A,4,4,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,167A,4,4,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,167A,4,4,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,167B,4,13,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,167B,4,13,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,167B,4,13,LIVE,1,0,NA,NA,NA,1,
May,27-May-17,2,167B,4,13,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,167B,4,13,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,167B,4,13,LIVE,1,1,21:22,21:30,0.0006,2,
June,24-Jun-17,1,167B,4,13,LIVE,1,1,20:52,21:37,0.0014,2,
June,25-Jun-17,2,167B,4,13,LIVE,1,1,20:53,22:00,4.2,2,
June,26-Jun-17,3,167B,4,13,LIVE,1,1,20:54,21:30,1,2,
June,27-Jun-17,4,167B,4,13,LIVE,1,1,21:19,21:32,0.0008,2,
July,22-Jul-17,0,167B,4,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,167B,4,13,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,167B,4,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,167B,4,13,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,167B,4,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,169A,4,4,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,169A,4,4,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,169A,4,4,LIVE,1,0,NA,NA,NA,1,
May,27-May-17,2,169A,4,4,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,169A,4,4,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,169A,4,4,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,169A,4,4,LIVE,1,1,20:40,NA,NA,2,
June,25-Jun-17,2,169A,4,4,LIVE,1,0,NA,NA,NA,1,
June,26-Jun-17,3,169A,4,4,LIVE,1,0,NA,NA,NA,1,
June,27-Jun-17,4,169A,4,4,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,169A,4,4,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,169A,4,4,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,169A,4,4,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,169A,4,4,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,169A,4,4,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,169B,4,13,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,169B,4,13,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,169B,4,13,LIVE,1,1,20:56,21:10,0.0018,2,
May,27-May-17,2,169B,4,13,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,169B,4,13,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,169B,4,13,LIVE,1,1,21:22,21:30,0.0002,2,
June,24-Jun-17,1,169B,4,13,LIVE,1,1,20:50,21:50,5,2,
June,25-Jun-17,2,169B,4,13,LIVE,1,1,20:53,22:04,0.02,2,
June,26-Jun-17,3,169B,4,13,LIVE,1,0,NA,NA,NA,1,
June,27-Jun-17,4,169B,4,13,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,169B,4,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,169B,4,13,LIVE,1,1,21:10,21:10,0.0002,2,
July,24-Jul-17,2,169B,4,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,169B,4,13,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,169B,4,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,170A,4,4,DEAD,0,0,NA,NA,NA,0,
May,25-May-17,0,170A,4,4,DEAD,0,0,NA,NA,NA,0,
May,26-May-17,1,170A,4,4,DEAD,0,0,NA,NA,NA,0,
May,27-May-17,2,170A,4,4,DEAD,0,0,NA,NA,NA,0,
May,28-May-17,3,170A,4,4,DEAD,0,0,NA,NA,NA,0,
June,23-Jun-17,0,170A,4,4,DEAD,0,0,NA,NA,NA,0,
June,24-Jun-17,1,170A,4,4,DEAD,0,0,NA,NA,NA,0,
June,25-Jun-17,2,170A,4,4,DEAD,0,0,NA,NA,NA,0,
June,26-Jun-17,3,170A,4,4,DEAD,0,0,NA,NA,NA,0,
June,27-Jun-17,4,170A,4,4,DEAD,0,0,NA,NA,NA,0,
July,22-Jul-17,0,170A,4,4,DEAD,0,0,NA,NA,NA,0,
July,23-Jul-17,1,170A,4,4,DEAD,0,0,NA,NA,NA,0,
July,24-Jul-17,2,170A,4,4,DEAD,0,0,NA,NA,NA,0,
July,25-Jul-17,3,170A,4,4,DEAD,0,0,NA,NA,NA,0,
July,26-Jul-17,4,170A,4,4,DEAD,0,0,NA,NA,NA,0,
May,24-May-17,-1,170B,4,13,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,170B,4,13,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,170B,4,13,LIVE,1,0,NA,NA,NA,1,
May,27-May-17,2,170B,4,13,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,170B,4,13,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,170B,4,13,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,170B,4,13,LIVE,1,1,20:56,21:10,0.002,2,
June,25-Jun-17,2,170B,4,13,LIVE,1,1,20:50,21:04,0.0008,2,
June,26-Jun-17,3,170B,4,13,LIVE,1,0,NA,NA,NA,1,
June,27-Jun-17,4,170B,4,13,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,170B,4,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,170B,4,13,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,170B,4,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,170B,4,13,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,170B,4,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,208A,13,4,LIVE,1,1,20:53,21:44,0.8,2,
May,25-May-17,0,208A,13,4,LIVE,1,1,20:58,21:30,1.5,2,
May,26-May-17,1,208A,13,4,LIVE,1,1,20:56,21:18,0.2,2,
May,27-May-17,2,208A,13,4,LIVE,1,1,21:03,21:19,0.0006,2,
May,28-May-17,3,208A,13,4,LIVE,1,1,20:04,21:04,0.0002,2,
June,23-Jun-17,0,208A,13,4,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,208A,13,4,LIVE,1,1,20:57,21:28,1,2,
June,25-Jun-17,2,208A,13,4,LIVE,1,1,20:58,21:34,0.2,2,
June,26-Jun-17,3,208A,13,4,LIVE,1,0,NA,NA,0.1,1,
June,27-Jun-17,4,208A,13,4,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,208A,13,4,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,208A,13,4,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,208A,13,4,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,208A,13,4,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,208A,13,4,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,208B,13,13,LIVE,1,1,21:01,21:01,0.8,2,
May,25-May-17,0,208B,13,13,LIVE,1,1,20:54,21:24,3,2,
May,26-May-17,1,208B,13,13,LIVE,1,1,20:54,22:00,1,2,
May,27-May-17,2,208B,13,13,LIVE,1,1,20:59,21:20,0.5,2,
May,28-May-17,3,208B,13,13,LIVE,1,1,20:56,21:20,1,2,
June,23-Jun-17,0,208B,13,13,LIVE,1,1,20:57,21:47,1,2,
June,24-Jun-17,1,208B,13,13,LIVE,1,1,NA,21:50,0.003,2,
June,25-Jun-17,2,208B,13,13,LIVE,1,1,20:50,22:00,0.5,2,
June,26-Jun-17,3,208B,13,13,LIVE,1,1,21:03,21:14,NA,2,
June,27-Jun-17,4,208B,13,13,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,208B,13,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,208B,13,13,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,208B,13,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,208B,13,13,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,208B,13,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,21A,13,4,DEAD,0,0,NA,NA,NA,0,
May,25-May-17,0,21A,13,4,DEAD,0,0,NA,NA,NA,0,
May,26-May-17,1,21A,13,4,DEAD,0,0,NA,NA,NA,0,
May,27-May-17,2,21A,13,4,DEAD,0,0,NA,NA,NA,0,
May,28-May-17,3,21A,13,4,DEAD,0,0,NA,NA,NA,0,
June,23-Jun-17,0,21A,13,4,DEAD,0,0,NA,NA,NA,0,
June,24-Jun-17,1,21A,13,4,DEAD,0,0,NA,NA,NA,0,
June,25-Jun-17,2,21A,13,4,DEAD,0,0,NA,NA,NA,0,
June,26-Jun-17,3,21A,13,4,DEAD,0,0,NA,NA,NA,0,
June,27-Jun-17,4,21A,13,4,DEAD,0,0,NA,NA,NA,0,
July,22-Jul-17,0,21A,13,4,DEAD,0,0,NA,NA,NA,0,
