Parent,Destination,Origin,Timepoint,Species,AFDW,SA,BM,BWg.d,BWx,BWx.d,BWg.dSA,BWg.dAFDW,BWx.dSA,BWx.dAFDW,LE,NP,R,GP,GPSA,GPAFDW,NPSA,NPAFDW,RSA,RAFDW,P_RSA,P_RAFDW,F0,FM,Yield,PercentLipids,TotalLipids,PropLipids,Final.prey.SA,Extension,Angle,Simpson,PropSpawn,FitScore,Survival,FitScoreNoRepro
24,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.1,1162.1,647.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.1,1363.6,602.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.875,1210.75,574.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.8,1082.1,609.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.2,1365.8,624.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,1345,611.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.8,1187.6,612.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439.6,1161.7,600.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.9,1045.7,622.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.6666667,981.6666667,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,1130.454545,645.6363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
